filename|arousal|valence
00077.flac|Ignore|-0.5
00078.flac|Init|-1
00079.flac|0|+2
00080.flac|Ignore|-2
00081.flac|0|Ignore
00082.flac|+0.5|Init
00083.flac|Ignore|+0.5
00084.flac|Init|+0.5
00085.flac|-0.5|0
00086.flac|Init|+1
00087.flac|+1|0
00088.flac|-1|+0.5
00089.flac|0|+0.5
00090.flac|-1|Init
00091.flac|-0.5|Init
00092.flac|+0.5|-0.5
00093.flac|Init|Ignore
00094.flac|0|-0.5
00095.flac|Ignore|-0.5
00096.flac|0|+0.5
00097.flac|+1|Init
00098.flac|+2|0
00099.flac|0|+1
00100.flac|+1|+1
00101.flac|-2|+1
00102.flac|+2|-1
00103.flac|+0.5|-0.5
00104.flac|Init|-1
00105.flac|-0.5|0
00106.flac|+1|Init
00107.flac|+0.5|+1
00108.flac|+2|Ignore
00109.flac|+0.5|Ignore
00110.flac|-1|Ignore
00111.flac|-2|-0.5
00112.flac|+1|0
00113.flac|-2|0
00114.flac|0|+1
00115.flac|+0.5|-0.5
00116.flac|Init|-1
00117.flac|+1|Ignore
00118.flac|-1|0
00119.flac|+0.5|Init
00120.flac|-1|0
00121.flac|Init|Ignore
00122.flac|0|Init
00123.flac|-1|+0.5
00124.flac|+1|-0.5
00125.flac|-2|-2
00126.flac|+2|Ignore
00127.flac|Init|+0.5
00128.flac|+2|Ignore
00129.flac|+0.5|0
00130.flac|-2|+2
00131.flac|-0.5|-1
00132.flac|+1|Ignore
00133.flac|-0.5|Init
00134.flac|+1|+2
00135.flac|0|+2
00136.flac|Ignore|Init
00137.flac|-1|-1
00138.flac|+1|+2
00139.flac|Ignore|Init
00140.flac|0|-2
00141.flac|-0.5|0
00142.flac|+2|-1
00143.flac|-2|Ignore
00144.flac|0|Init
00145.flac|0|+2
00146.flac|0|Ignore
00147.flac|Init|Init
00148.flac|Init|Init
00149.flac|Init|-2
00150.flac|-0.5|-2
00151.flac|+1|+0.5
00152.flac|Init|0
00153.flac|Init|-0.5
00154.flac|+1|Init
00155.flac|+1|-0.5
00156.flac|+0.5|-1
00157.flac|Init|+0.5
00158.flac|-1|+2
00159.flac|-2|Init
00160.flac|-2|-2
00161.flac|Ignore|-0.5
00162.flac|Ignore|0
00163.flac|Init|Init
00164.flac|0|+1
00165.flac|+0.5|-2
00166.flac|Init|-0.5
00167.flac|-2|-1
00168.flac|Ignore|-1
00169.flac|Init|-0.5
00170.flac|Ignore|-2
00171.flac|-1|-0.5
00172.flac|+0.5|Ignore
00173.flac|Init|-1
00174.flac|+1|Init
00175.flac|+2|Ignore
00176.flac|-1|+1
00177.flac|+2|-0.5
00178.flac|+1|+0.5
00179.flac|-2|+0.5
00180.flac|-2|-2
00181.flac|Init|0
00182.flac|-2|+2
00183.flac|Ignore|+1
00184.flac|Ignore|-1
00185.flac|-2|+0.5
00186.flac|0|+0.5
00187.flac|+1|Ignore
00188.flac|-1|+1
00189.flac|0|-2
00190.flac|+2|+2
00191.flac|Init|-1
00192.flac|-0.5|+0.5
00193.flac|+2|+0.5
00194.flac|Init|0
00195.flac|-2|-2
00196.flac|+1|-1
00197.flac|+2|Ignore
00198.flac|+1|0
00199.flac|+0.5|+2
00200.flac|Ignore|-1
00201.flac|Init|Init
00202.flac|+0.5|+0.5
00203.flac|-2|+0.5
00204.flac|+1|+2
00205.flac|+2|Init
00206.flac|-0.5|+1
00207.flac|+0.5|Ignore
00208.flac|-2|+0.5
00209.flac|-1|+0.5
00210.flac|+0.5|0
00211.flac|-1|Init
00212.flac|Ignore|-2
00213.flac|0|Init
00214.flac|0|+1
00215.flac|-1|Init
00216.flac|-2|-2
00217.flac|-2|+2
00218.flac|+0.5|0
00219.flac|-0.5|+2
00220.flac|-0.5|-1
00221.flac|0|+0.5
00222.flac|Ignore|-2
00223.flac|-0.5|-1
00224.flac|+0.5|+1
00225.flac|0|0
00226.flac|-1|-2
00227.flac|+0.5|-0.5
00228.flac|-1|0
00229.flac|Init|+0.5
00230.flac|+1|-2
00231.flac|+2|-0.5
00232.flac|-0.5|+2
00233.flac|Ignore|+0.5
00234.flac|+0.5|-2
00235.flac|+0.5|-2
00236.flac|-0.5|Init
00237.flac|-1|-0.5
00238.flac|-0.5|-1
00239.flac|+1|+1
00240.flac|-2|-2
00241.flac|-0.5|-0.5
00242.flac|0|-2
00243.flac|-1|-0.5
00244.flac|0|0
00245.flac|+2|-0.5
00246.flac|-2|+0.5
00247.flac|-1|Ignore
00248.flac|0|+1
00249.flac|+2|+1
00250.flac|Init|+1
00251.flac|+2|-2
00252.flac|+2|+0.5
00253.flac|-1|Init
00254.flac|-2|Init
00255.flac|+1|+2
00256.flac|Init|Ignore
00257.flac|+1|Ignore
00258.flac|0|-2
00259.flac|-2|Init
00260.flac|-2|+2
00261.flac|-1|-0.5
00262.flac|+0.5|0
00263.flac|Init|Init
00264.flac|+2|+1
00265.flac|-0.5|-2
00266.flac|Ignore|-1
00267.flac|-0.5|-0.5
00268.flac|+1|-2
00269.flac|Ignore|+2
00270.flac|-2|Init
00271.flac|-1|-2
00272.flac|+2|-1
00273.flac|0|-1
00274.flac|Init|-0.5
00275.flac|Ignore|Init
00276.flac|Ignore|+0.5
00277.flac|-2|-1
00278.flac|Init|-2
00279.flac|+0.5|Ignore
00280.flac|-1|-0.5
00281.flac|Init|-1
00282.flac|Ignore|Init
00283.flac|+0.5|+0.5
00284.flac|0|Ignore
00285.flac|-0.5|+1
00286.flac|Init|+0.5
00287.flac|0|Ignore
00288.flac|-1|0
00289.flac|-0.5|+2
00290.flac|-2|+0.5
00291.flac|+1|-2
00292.flac|+1|+0.5
00293.flac|+1|0
00294.flac|+2|Init
00295.flac|Ignore|+0.5
00296.flac|0|+2
00297.flac|0|-2
00298.flac|-1|Init
00299.flac|-1|-0.5
00300.flac|-1|-0.5
00301.flac|-0.5|-2
00302.flac|+0.5|-0.5
00303.flac|-0.5|0
00304.flac|+1|-1
00305.flac|-0.5|0
00306.flac|-2|0
00307.flac|-0.5|0
00308.flac|+0.5|Init
00309.flac|+1|+1
00310.flac|+2|Ignore
00311.flac|+2|-0.5
00312.flac|Init|-0.5
00313.flac|-2|-2
00314.flac|0|-0.5
00315.flac|Init|+0.5
00316.flac|Init|+2
00317.flac|Init|0
00318.flac|-0.5|Init
00319.flac|Ignore|-0.5
00320.flac|Init|0
00321.flac|-0.5|Init
00322.flac|-0.5|+1
00323.flac|+2|Init
00324.flac|-0.5|-0.5
00325.flac|+2|+2
00326.flac|-2|-1
00327.flac|Init|+0.5
00328.flac|+0.5|Ignore
00329.flac|-0.5|+2
00330.flac|+0.5|+0.5
00331.flac|-2|-0.5
00332.flac|0|+1
00333.flac|Init|0
00334.flac|-2|Init
00335.flac|-0.5|-2
00336.flac|-0.5|+2
00337.flac|0|-1
00338.flac|Init|Ignore
00339.flac|Ignore|+0.5
00340.flac|-1|+2
00341.flac|-2|+2
00342.flac|+1|0
00343.flac|Ignore|-1
00344.flac|-0.5|Ignore
00345.flac|+2|-2
00346.flac|Ignore|-0.5
00347.flac|-1|+0.5
00348.flac|+2|-1
00349.flac|-2|0
00350.flac|-0.5|0
00351.flac|+1|Ignore
00352.flac|+0.5|0
00353.flac|-0.5|+1
00354.flac|+2|-2
00355.flac|+2|-2
00356.flac|-2|+1
00357.flac|+1|0
00358.flac|-1|+2
00359.flac|-0.5|+1
00360.flac|+0.5|+0.5
00361.flac|Ignore|0
00362.flac|-0.5|Init
00363.flac|0|-2
00364.flac|Ignore|-0.5
00365.flac|-0.5|+1
00366.flac|-0.5|-2
00367.flac|0|+1
00368.flac|Init|+1
00369.flac|-2|-2
00370.flac|Ignore|-2
00371.flac|Init|Init
00372.flac|+1|+1
00373.flac|+1|-2
00374.flac|0|0
00375.flac|+2|+1
00376.flac|-2|Init
00377.flac|0|+2
00378.flac|-1|-2
00379.flac|+0.5|+0.5
00380.flac|-1|+2
00381.flac|Ignore|0
00382.flac|+1|+1
00383.flac|Ignore|-2
00384.flac|Ignore|Ignore
00385.flac|Init|0
00386.flac|-2|-1
00387.flac|-0.5|Ignore
00388.flac|-1|-1
00389.flac|-0.5|-0.5
00390.flac|Init|+1
00391.flac|-0.5|-0.5
00392.flac|-2|+0.5
00393.flac|-1|+2
00394.flac|Init|-2
00395.flac|0|-1
00396.flac|-1|-0.5
00397.flac|Init|Init
00398.flac|+1|-1
00399.flac|+1|+0.5
00400.flac|Ignore|-1
00401.flac|+0.5|-1
00402.flac|Init|+2
00403.flac|+0.5|-0.5
00404.flac|Init|+1
00405.flac|+0.5|+1
00406.flac|+2|Init
00407.flac|-0.5|+2
00408.flac|+2|Ignore
00409.flac|+1|-1
00410.flac|Init|+2
00411.flac|-1|Ignore
00412.flac|Ignore|Init
00413.flac|-2|Init
00414.flac|+2|-1
00415.flac|+1|+2
00416.flac|-1|+1
00417.flac|-0.5|-2
00418.flac|-1|Ignore
00419.flac|-2|Init
00420.flac|-1|Ignore
00421.flac|Ignore|-2
00422.flac|Init|+2
00423.flac|-2|+0.5
00424.flac|-2|-1
00425.flac|+0.5|-1
00426.flac|-0.5|Ignore
00427.flac|0|0
00428.flac|Ignore|+2
00429.flac|+0.5|Init
00430.flac|-2|+0.5
00431.flac|+1|Ignore
00432.flac|Ignore|+0.5
00433.flac|Ignore|Ignore
00434.flac|Ignore|-2
00435.flac|-0.5|0
00436.flac|-2|Init
00437.flac|-2|Init
00438.flac|0|+1
00439.flac|0|Init
00440.flac|0|+0.5
00441.flac|-2|-0.5
00442.flac|+0.5|+0.5
00443.flac|-2|-1
00444.flac|-2|Init
00445.flac|0|Ignore
00446.flac|-2|+2
00447.flac|-2|-0.5
00448.flac|Init|+0.5
00449.flac|Init|-2
00450.flac|-0.5|-1
00451.flac|+2|+1
00452.flac|Init|Init
00453.flac|-2|+0.5
00454.flac|-0.5|+2
00455.flac|+2|Init
00456.flac|-2|0
00457.flac|Init|-1
00458.flac|-2|+0.5
00459.flac|-2|+1
00460.flac|Init|+1
00461.flac|0|-1
00462.flac|0|-1
00463.flac|0|+0.5
00464.flac|Ignore|0
00465.flac|+0.5|+0.5
00466.flac|-1|+0.5
00467.flac|+0.5|-1
00468.flac|+0.5|Init
00469.flac|0|Init
00470.flac|+2|+1
00471.flac|-2|+2
00472.flac|Init|Ignore
00473.flac|Ignore|-1
00474.flac|+2|-1
00475.flac|0|+1
00476.flac|-0.5|Ignore
00477.flac|+0.5|+2
00478.flac|-2|-0.5
00479.flac|-0.5|+1
00480.flac|+1|Init
00481.flac|Ignore|-2
00482.flac|+0.5|-2
00483.flac|+1|+1
00484.flac|0|Init
00485.flac|Init|Ignore
00486.flac|+1|+0.5
00487.flac|-2|+1
00488.flac|Ignore|+2
00489.flac|+1|+2
00490.flac|Init|-2
00491.flac|+0.5|Init
00492.flac|+0.5|Ignore
00493.flac|Ignore|-2
00494.flac|+1|Ignore
00495.flac|-1|+2
00496.flac|+1|Init
00497.flac|-2|Init
00498.flac|+2|-2
00499.flac|-0.5|+1
00500.flac|+1|-1
00501.flac|Init|0
00502.flac|-0.5|+2
00503.flac|+0.5|-1
00504.flac|-0.5|0
00505.flac|-1|+2
00506.flac|-1|+1
00507.flac|0|+0.5
00508.flac|Init|+2
00509.flac|+2|0
00510.flac|Init|-2
00511.flac|0|+1
00512.flac|-0.5|0
00513.flac|+1|+2
00514.flac|0|0
00515.flac|Ignore|-1
00516.flac|+1|-1
00517.flac|+0.5|+2
00518.flac|+1|-0.5
00519.flac|+1|-0.5
00520.flac|0|-1
00521.flac|0|0
00522.flac|Init|0
00523.flac|+0.5|Init
00524.flac|-2|Init
00525.flac|Init|-1
00526.flac|-2|Ignore
00527.flac|Ignore|+1
00528.flac|+0.5|-1
00529.flac|Ignore|+0.5
00530.flac|-0.5|+1
00531.flac|-2|-2
00532.flac|Init|-0.5
00533.flac|+0.5|+2
00534.flac|Init|Init
00535.flac|+0.5|+1
00536.flac|-2|-2
00537.flac|Init|-0.5
00538.flac|-0.5|+2
00539.flac|Init|-1
00540.flac|Ignore|-1
00541.flac|-1|-1
00542.flac|+2|Ignore
00543.flac|-1|+0.5
00544.flac|Ignore|+2
00545.flac|0|Ignore
00546.flac|+2|-1
00547.flac|0|-0.5
00548.flac|-0.5|Init
00549.flac|Ignore|Init
00550.flac|+1|-1
00551.flac|-0.5|+0.5
00552.flac|Ignore|-0.5
00553.flac|Init|Init
00554.flac|0|-0.5
00555.flac|+1|Ignore
00556.flac|-0.5|+1
00557.flac|-0.5|+0.5
00558.flac|Ignore|0
00559.flac|-2|-2
00560.flac|-2|+1
00561.flac|0|0
00562.flac|0|-1
00563.flac|-2|+1
00564.flac|+0.5|0
00565.flac|-0.5|+0.5
00566.flac|0|Ignore
00567.flac|+2|Ignore
00568.flac|-0.5|+0.5
00569.flac|Init|-0.5
00570.flac|Ignore|+1
00571.flac|+0.5|Init
00572.flac|-0.5|+0.5
00573.flac|Init|+0.5
00574.flac|+2|0
00575.flac|Init|Init
00576.flac|-0.5|Init
00577.flac|0|Init
00578.flac|-0.5|-0.5
00579.flac|0|0
00580.flac|Init|0
00581.flac|-1|0
00582.flac|+1|+1
00583.flac|+1|Init
00584.flac|0|+0.5
00585.flac|0|+0.5
00586.flac|Init|-2
00587.flac|+1|-2
00588.flac|-2|-2
00589.flac|-1|0
00590.flac|+1|0
00591.flac|-0.5|+1
00592.flac|Ignore|-1
00593.flac|-2|+1
00594.flac|+1|+2
00595.flac|-2|-0.5
00596.flac|+0.5|-1
00597.flac|Ignore|+1
00598.flac|Init|+1
00599.flac|Init|-0.5
00600.flac|-1|-1
00601.flac|+1|+0.5
00602.flac|+2|+0.5
00603.flac|0|Ignore
00604.flac|-0.5|+0.5
00605.flac|+0.5|-2
00606.flac|Init|+0.5
00607.flac|Init|Init
00608.flac|-1|+0.5
00609.flac|+2|-0.5
00610.flac|+2|+2
00611.flac|-0.5|+2
00612.flac|+2|0
00613.flac|0|+2
00614.flac|-2|+0.5
00615.flac|+2|Init
00616.flac|+0.5|+0.5
00617.flac|+1|-2
00618.flac|-2|-1
00619.flac|-0.5|+2
00620.flac|-0.5|-1
00621.flac|+0.5|-2
00622.flac|0|0
00623.flac|+0.5|Ignore
00624.flac|Ignore|Ignore
00625.flac|-1|+0.5
00626.flac|0|+0.5
00627.flac|-2|+2
00628.flac|+2|-2
00629.flac|-2|0
00630.flac|-2|Ignore
00631.flac|-2|0
00632.flac|+0.5|+2
00633.flac|-1|+0.5
00634.flac|+0.5|+2
00635.flac|0|0
00636.flac|-1|+1
00637.flac|-0.5|+2
00638.flac|+1|+0.5
00639.flac|0|Init
00640.flac|0|Ignore
00641.flac|-2|-2
00642.flac|Ignore|-2
00643.flac|0|-0.5
00644.flac|+0.5|+0.5
00645.flac|-0.5|+2
00646.flac|+2|-0.5
00647.flac|0|-0.5
00648.flac|+2|+1
00649.flac|-1|+0.5
00650.flac|-1|+2
00651.flac|Init|Init
00652.flac|Ignore|+0.5
00653.flac|-2|-1
00654.flac|-2|+1
00655.flac|0|-1
00656.flac|Init|-1
00657.flac|+2|Init
00658.flac|0|+1
00659.flac|+2|+1
00660.flac|+0.5|+1
00661.flac|+2|-2
00662.flac|0|+0.5
00663.flac|-2|-1
00664.flac|Init|-2
00665.flac|+1|Ignore
00666.flac|+1|Ignore
00667.flac|-1|-2
00668.flac|-1|-0.5
00669.flac|-2|0
00670.flac|Ignore|-2
00671.flac|-2|-0.5
00672.flac|+0.5|Init
00673.flac|-0.5|0
00674.flac|-0.5|-2
00675.flac|-0.5|+2
00676.flac|Ignore|+2
00677.flac|+0.5|+2
00678.flac|Init|-0.5
00679.flac|Ignore|+2
00680.flac|-0.5|Init
00681.flac|+1|+1
00682.flac|-0.5|-2
00683.flac|Init|+0.5
00684.flac|0|Init
00685.flac|+0.5|-0.5
00686.flac|Init|Init
00687.flac|+2|Ignore
00688.flac|Init|Ignore
00689.flac|-2|-1
00690.flac|Ignore|+0.5
00691.flac|-1|-0.5
00692.flac|0|-1
00693.flac|-1|Ignore
00694.flac|-0.5|+2
00695.flac|Init|Ignore
00696.flac|-1|-0.5
00697.flac|Init|+2
00698.flac|+0.5|+2
00699.flac|Ignore|Ignore
00700.flac|-1|0
00701.flac|Init|-0.5
00702.flac|-1|Init
00703.flac|Ignore|+1
00704.flac|+0.5|-1
00705.flac|+1|+0.5
00706.flac|Init|0
00707.flac|-2|+0.5
00708.flac|+0.5|0
00709.flac|+0.5|Ignore
00710.flac|-0.5|0
00711.flac|-1|+0.5
00712.flac|-0.5|+1
00713.flac|+2|-1
00714.flac|-1|+0.5
00715.flac|+0.5|0
00716.flac|+1|Ignore
00717.flac|-1|+2
00718.flac|+2|+1
00719.flac|Ignore|+2
00720.flac|Init|-0.5
00721.flac|+1|-2
00722.flac|-1|0
00723.flac|Init|+1
00724.flac|+2|-1
00725.flac|-2|-0.5
00726.flac|Ignore|0
00727.flac|-0.5|Init
00728.flac|0|+1
00729.flac|-0.5|0
00730.flac|Ignore|Init
00731.flac|+2|+1
00732.flac|+2|-2
00733.flac|+2|-1
00734.flac|Ignore|-1
00735.flac|+1|+2
00736.flac|-0.5|Init
00737.flac|-2|+1
00738.flac|-0.5|+1
00739.flac|-2|+0.5
00740.flac|+1|Ignore
00741.flac|+0.5|-1
00742.flac|Ignore|+0.5
00743.flac|0|Init
00744.flac|+2|+0.5
00745.flac|+1|Init
00746.flac|+2|-2
00747.flac|Ignore|+1
00748.flac|0|-1
00749.flac|0|Ignore
00750.flac|-2|+2
00751.flac|+1|Init
00752.flac|+2|-1
00753.flac|Init|+0.5
00754.flac|Ignore|-0.5
00755.flac|-0.5|Ignore
00756.flac|-1|-1
00757.flac|+1|+2
00758.flac|-1|Init
00759.flac|-2|Ignore
00760.flac|+0.5|-1
00761.flac|+2|+0.5
00762.flac|-1|-0.5
00763.flac|+1|+0.5
00764.flac|Ignore|Ignore
00765.flac|+2|+0.5
00766.flac|-0.5|-0.5
00767.flac|Ignore|Ignore
00768.flac|-2|+2
00769.flac|+1|+0.5
00770.flac|-2|Init
00771.flac|Init|-0.5
00772.flac|0|+1
00773.flac|+2|+0.5
00774.flac|+1|-1
00775.flac|-1|+2
00776.flac|+0.5|+1
00777.flac|Init|-0.5
00778.flac|+1|-2
00779.flac|0|+0.5
00780.flac|-2|-2
00781.flac|Init|-1
00782.flac|+2|+0.5
00783.flac|+2|-1
00784.flac|0|-1
00785.flac|-1|Ignore
00786.flac|Init|-2
00787.flac|-0.5|-0.5
00788.flac|-1|Ignore
00789.flac|+2|-1
00790.flac|-0.5|-1
00791.flac|-1|-1
00792.flac|+1|+2
00793.flac|0|0
00794.flac|Init|-2
00795.flac|+0.5|-0.5
00796.flac|-2|-1
00797.flac|Ignore|-2
00798.flac|Init|-0.5
00799.flac|+0.5|-0.5
00800.flac|+1|Ignore
00801.flac|+0.5|-2
00802.flac|+2|+1
00803.flac|0|-1
00804.flac|+0.5|+1
00805.flac|+1|0
00806.flac|+0.5|-0.5
00807.flac|Init|+0.5
00808.flac|+1|-2
00809.flac|-0.5|+2
00810.flac|Ignore|Init
00811.flac|Ignore|+2
00812.flac|Init|0
00813.flac|-0.5|-2
00814.flac|-0.5|+0.5
00815.flac|+2|Ignore
00816.flac|-2|Init
00817.flac|+1|+2
00818.flac|+0.5|Init
00819.flac|Init|-1
00820.flac|Init|-1
00821.flac|0|Init
00822.flac|+1|-2
00823.flac|-1|+0.5
00824.flac|+2|0
00825.flac|+1|-2
00826.flac|-2|0
00827.flac|0|+1
00828.flac|-0.5|-1
00829.flac|+2|-2
00830.flac|+0.5|Ignore
00831.flac|+1|-0.5
00832.flac|Init|+2
00833.flac|Ignore|Init
00834.flac|-1|+2
00835.flac|+1|0
00836.flac|+2|-2
00837.flac|+2|+0.5
00838.flac|0|0
00839.flac|+1|-0.5
00840.flac|+0.5|-0.5
00841.flac|0|+1
00842.flac|-1|+2
00843.flac|+2|-1
00844.flac|0|+2
00845.flac|+2|-0.5
00846.flac|+0.5|0
00847.flac|0|-0.5
00848.flac|Init|-2
00849.flac|Ignore|0
00850.flac|+2|0
00851.flac|0|+2
00852.flac|+1|-2
00853.flac|-1|Ignore
00854.flac|0|0
00855.flac|+1|-1
00856.flac|-1|Init
00857.flac|+0.5|Init
00858.flac|0|Init
00859.flac|0|-2
00860.flac|Init|-1
00861.flac|0|+2
00862.flac|Init|-0.5
00863.flac|Ignore|+1
00864.flac|-2|Ignore
00865.flac|Ignore|+0.5
00866.flac|+1|-2
00867.flac|+0.5|-0.5
00868.flac|+0.5|-0.5
00869.flac|+1|-1
00870.flac|-1|Ignore
00871.flac|0|+0.5
00872.flac|Ignore|Ignore
00873.flac|-0.5|0
00874.flac|Ignore|+2
00875.flac|Ignore|-2
00876.flac|Init|+0.5
00877.flac|+0.5|+2
00878.flac|-0.5|+1
00879.flac|-1|+1
00880.flac|+0.5|Init
00881.flac|+0.5|0
00882.flac|-1|+0.5
00883.flac|-2|0
00884.flac|-2|+0.5
00885.flac|-1|-0.5
00886.flac|-2|+2
00887.flac|-1|-2
00888.flac|0|-0.5
00889.flac|0|+2
00890.flac|-2|-0.5
00891.flac|-1|Ignore
00892.flac|0|-2
00893.flac|+0.5|+2
00894.flac|Init|+0.5
00895.flac|0|0
00896.flac|-1|+0.5
00897.flac|Ignore|-2
00898.flac|+2|-2
00899.flac|Init|0
00900.flac|+1|-0.5
00901.flac|Init|Init
00902.flac|-2|Ignore
00903.flac|Init|Ignore
00904.flac|Init|+1
00905.flac|+2|-0.5
00906.flac|0|0
00907.flac|-2|-0.5
00908.flac|-2|0
00909.flac|-1|0
00910.flac|+2|0
00911.flac|0|0
00912.flac|-0.5|-0.5
00913.flac|-1|+2
00914.flac|-0.5|-0.5
00915.flac|+0.5|0
00916.flac|-0.5|+2
00917.flac|-1|-1
00918.flac|+2|+1
00919.flac|-1|-2
00920.flac|+0.5|+0.5
00921.flac|-0.5|-2
00922.flac|+2|Init
00923.flac|+0.5|Ignore
00924.flac|-1|Ignore
00925.flac|+0.5|-0.5
00926.flac|+0.5|-2
00927.flac|Init|-2
00928.flac|-2|+1
00929.flac|+0.5|Ignore
00930.flac|+0.5|0
00931.flac|-2|Init
00932.flac|-1|-1
00933.flac|0|+1
00934.flac|-2|+1
00935.flac|Ignore|+1
00936.flac|Init|-1
00937.flac|+2|Ignore
00938.flac|-2|Ignore
00939.flac|+2|Init
00940.flac|-2|+1
00941.flac|Ignore|Ignore
00942.flac|+0.5|Init
00943.flac|Ignore|Init
00944.flac|Ignore|+2
00945.flac|+0.5|-2
00946.flac|0|+2
00947.flac|+0.5|-2
00948.flac|0|+1
00949.flac|-0.5|-0.5
00950.flac|+2|Ignore
00951.flac|Init|-2
00952.flac|-0.5|-1
00953.flac|-2|+2
00954.flac|+1|0
00955.flac|0|-2
00956.flac|0|-2
00957.flac|+0.5|-1
00958.flac|-0.5|+1
00959.flac|-0.5|+1
00960.flac|Ignore|-1
00961.flac|Init|Ignore
00962.flac|+1|+2
00963.flac|-1|-0.5
00964.flac|-0.5|-2
00965.flac|+0.5|Ignore
00966.flac|-1|-0.5
00967.flac|Init|+0.5
00968.flac|+2|+0.5
00969.flac|Init|Ignore
00970.flac|+0.5|+1
00971.flac|-0.5|Init
00972.flac|Ignore|0
00973.flac|-2|-0.5
00974.flac|Init|-1
00975.flac|+1|Ignore
00976.flac|+2|Init
00977.flac|0|-1
00978.flac|+2|-2
00979.flac|Init|-0.5
00980.flac|Ignore|+2
00981.flac|-1|Init
00982.flac|+1|+0.5
00983.flac|Init|Init
00984.flac|0|-0.5
00985.flac|-1|Init
00986.flac|+0.5|-2
00987.flac|-0.5|-1
00988.flac|Ignore|-0.5
00989.flac|-0.5|Ignore
00990.flac|+0.5|0
00991.flac|+0.5|Ignore
00992.flac|-2|0
00993.flac|-0.5|-0.5
00994.flac|Ignore|-0.5
00995.flac|-1|+1
00996.flac|-0.5|+2
00997.flac|Init|-2
00998.flac|0|+2
00999.flac|-1|Ignore
01000.flac|-0.5|0
01001.flac|+1|-1
01002.flac|-1|-1
01003.flac|Init|-2
01004.flac|-1|+1
01005.flac|+0.5|-1
01006.flac|0|+1
01007.flac|+0.5|-2
01008.flac|-2|+0.5
01009.flac|-2|Init
01010.flac|-2|+2
01011.flac|0|-2
01012.flac|-1|-2
01013.flac|Ignore|Init
01014.flac|-0.5|Init
01015.flac|+0.5|-0.5
01016.flac|+1|-0.5
01017.flac|+2|-0.5
01018.flac|+2|+2
01019.flac|+1|+2
01020.flac|Ignore|Init
01021.flac|+1|Init
01022.flac|-2|-1
01023.flac|+2|Init
01024.flac|Init|+2
01025.flac|-1|+1
01026.flac|+1|0
01027.flac|-1|Ignore
01028.flac|-2|-2
01029.flac|-1|-0.5
01030.flac|+0.5|+0.5
01031.flac|+1|Init
01032.flac|-2|+0.5
01033.flac|+0.5|+1
01034.flac|+1|+2
01035.flac|-0.5|0
01036.flac|-1|Ignore
01037.flac|+1|-1
01038.flac|-1|Ignore
01039.flac|+1|Ignore
01040.flac|0|-1
01041.flac|-0.5|+0.5
01042.flac|+2|-0.5
01043.flac|-0.5|+0.5
01044.flac|+1|Ignore
01045.flac|Ignore|-1
01046.flac|+0.5|+2
01047.flac|-0.5|Ignore
01048.flac|Ignore|Init
01049.flac|+2|Init
01050.flac|Ignore|-1
01051.flac|-0.5|-1
01052.flac|+0.5|+1
01053.flac|Ignore|Init
01054.flac|-1|Ignore
01055.flac|-0.5|+0.5
01056.flac|-2|Init
01057.flac|+2|+1
01058.flac|-1|Init
01059.flac|-2|Init
01060.flac|Init|0
01061.flac|0|-1
01062.flac|-1|Init
01063.flac|Ignore|Init
01064.flac|-1|Ignore
01065.flac|0|Init
01066.flac|-1|-1
01067.flac|-2|-2
